,Device ID,Memory
1088,8349,64GB
1089,8338,32GB
1090,8296,64GB
1091,8322,8GB
1092,8323,8GB
1093,8324,8GB
1094,8256,8GB
1095,8255,8GB
1096,8252,8GB
1097,8251,4GB
1098,8253,8GB
1099,8254,8GB
1100,8171,16GB
1101,8171,8GB
1102,8188,8GB
1103,8189,4GB
1104,8190,4GB
1105,8191,4GB
1106,8187,64GB
1107,8153,8GB
1108,8152,8GB
1109,8151,4GB
1110,8118,8GB
1111,8117,8GB
1112,8116,4GB
1113,8119,4GB
1114,8115,512MB
1115,8030,4GB
1116,8029,8GB
1117,8028,4GB
1118,8003,8GB
1119,7990,16GB
1120,7988,16GB
1121,7989,16GB
1122,7987,8GB
1123,7986,16GB
1124,7978,16GB
1125,7978,8GB
1126,7974,8GB
1127,7924,8GB
1128,7923,8GB
1129,7922,8GB
1130,7892,16GB
1131,7867,8GB
1132,7858,16GB
1133,7857,32GB
1134,7820,16GB
1135,7775,8GB
1136,7774,8GB
1137,7726,16GB
1138,7725,4GB
1139,7706,8GB
1140,7705,4GB
1141,7676,8GB
1142,7671,16GB
1143,7645,8GB
1144,7623,8GB
1145,7558,64GB
1146,7559,16GB
1147,7523,8GB
1148,7499,8GB
1149,7498,4GB
1150,7490,8GB
1151,7489,8GB
1152,7450,8GB
1153,7449,8GB
1154,7448,8GB
1155,7447,8GB
1156,7293,8GB
1157,7291,4GB
1158,7290,8GB
1159,7265,4GB
1160,7225,16GB
1161,7205,8GB
1162,7204,4GB
1163,6930,16GB
1164,6930,8GB
1165,6929,8GB
1166,6928,8GB
1167,6927,4GB
1168,6926,8GB
1169,6925,8GB
1170,6924,16GB
1171,6900,16GB
1172,6899,8GB
1173,6839,4GB
1174,6838,8GB
1175,6837,4GB
1176,6836,8GB
1177,6835,4GB
1178,6834,512MB
1179,6833,4GB
1180,6670,4GB
1181,6669,8GB
1182,6565,4GB
1183,6566,4GB
1184,6567,4GB
1185,6568,4GB
1186,6406,16GB
1187,6405,8GB
1188,6346,16GB
1189,6346,32GB
1190,6339,4GB
1191,6330,4GB
1192,6277,4GB
1193,6276,512MB
1194,6244,4GB
1195,6243,4GB
1196,6242,4GB
1197,6041,16GB
1198,5986,16GB
1199,5957,8GB
1200,5956,4GB
1201,5955,16GB
1202,5955,32GB
1203,5954,4GB
1204,5935,16GB
1205,5920,32GB
1206,5909,4GB
1207,5908,4GB
1208,5873,16GB
1209,5761,4GB
1210,5748,128MB
1211,5747,32MB
1212,5746,32MB
1213,5745,32MB
1214,5661,4GB
1215,5660,4GB
1216,5662,512MB
1217,5593,4GB
1218,5489,4GB
1219,5458,4GB
1220,5459,4GB
1221,5460,4GB
1222,5411,512MB
1223,5410,64MB
1224,5409,32MB
1225,5408,64MB
1226,5360,16GB
1227,5358,16GB
1228,5359,4GB
1229,5295,4GB
1230,5294,4GB
1231,5283,4GB
1232,5282,16GB
1233,5281,4GB
1234,5210,128MB
1235,5209,4GB
1236,5208,512MB
1237,5207,128MB
1238,5206,4GB
1239,5205,4GB
1240,5202,512MB
1241,5201,4GB
1242,5023,512MB
1243,4947,1GB
1244,4946,512MB
1245,4945,64MB
1246,4944,32MB
1247,4901,4GB
1248,4853,16MB
1249,4852,16MB
1250,4370,512MB
1251,4224,512MB
1252,4195,1GB
1253,4162,1GB
1254,4163,256MB
1255,4165,1GB
1256,4166,1GB
1257,4167,256MB
1258,4168,64MB
1259,4169,128MB
1260,4171,256MB
1261,4170,64MB
1262,4172,64MB
1263,4173,64MB
1264,4174,256MB
1265,4175,64MB
1266,4176,64MB
1267,4177,128MB
1268,4178,64MB
1269,3854,512MB
1270,3855,512MB
1271,3856,64MB
1272,3857,32MB
1273,3857,64MB
1274,3858,32MB
1275,3858,64MB
1276,3859,16MB
1277,3548,512MB
1278,3549,256MB
1279,3550,52MB
1280,3551,50MB
1281,3552,70MB
1282,3553,32MB
1283,3567,16MB
1284,3568,16MB
1285,3569,16MB
1286,3560,32MB
1287,3561,
1288,3562,
1289,3563,32MB
1290,3564,32MB
1291,3565,32MB
1292,3572,32MB
1293,3570,16MB
1294,3571,16MB
1295,3573,16MB
1296,3574,16MB
1297,3575,
1298,12454,16GB
1299,12427,128GB
1300,12269,256GB
1301,12522,64GB
1302,12523,64GB
1303,12524,128GB
1304,12525,128GB
1305,12232,128GB
1306,12221,32GB
1307,12221,64GB
1308,11948,32GB
1309,11642,128GB
1310,11266,64GB
1311,10790,128GB
1312,10790,64GB
1313,10681,128GB
1314,10529,128GB
1315,10594,16GB
1316,10357,64GB
1317,10593,32GB
1318,10592,32GB
1319,10595,32GB
1320,10298,256GB
1321,10297,128GB
1322,9965,32GB
1323,9924,64GB
1324,9797,128GB
1325,9797,32GB
1326,9735,128GB
1327,9734,128GB
1328,9734,64GB
1329,9487,32GB
1330,9487,64GB
1331,9385,128GB
1332,9179,128GB
1333,9179,64GB
1334,9119,128GB
1335,9119,64GB
1336,9102,32GB
1337,9071,16GB
1338,9071,32GB
1339,8990,64GB
1340,8908,128GB
1341,8908,64GB
1342,8885,32GB
1343,8885,64GB
1344,8630,128GB
1345,8630,64GB
