,Device ID,RAM
1275,3141,384MB
1276,3069,512MB
1277,3080,256MB
1278,3427,512MB
1279,3230,
1280,10104,2GB
1281,6371,
1282,5510,
1283,4457,
1284,12807,8GB
1285,12761,
1286,12588,
1287,12589,
1288,12762,
1289,12720,8GB
1290,12713,12GB
1291,12713,8GB
1292,12648,8GB
1293,12607,
1294,12586,12GB
1295,12586,16GB
1296,12585,16GB
1297,12563,
1298,12549,16GB
1299,12550,
1300,12530,12GB
1301,12539,12GB
1302,12420,6GB
1303,12420,8GB
1304,12415,12GB
1305,12415,8GB
1306,12290,6GB
1307,12290,8GB
1308,12278,2GB
1309,12279,2GB
1310,12268,8GB
1311,12259,8GB
1312,12235,8GB
1313,12230,
1314,12233,8GB
1315,12234,8GB
1316,12186,
1317,12172,12GB
1318,12172,8GB
1319,12191,8GB
1320,12192,12GB
1321,12193,
1322,12190,
1323,12185,6GB
1324,12185,8GB
1325,12154,8GB
1326,12021,
1327,12020,6GB
1328,12020,8GB
1329,11980,
1330,11970,
1331,11972,
1332,11968,4GB
1333,11968,6GB
1334,11942,4GB
1335,11918,6GB
1336,11918,8GB
1337,11858,12GB
1338,11856,8GB
1339,11859,8GB
1340,11857,8GB
1341,11853,8GB
1342,11720,12GB
1343,11720,8GB
1344,11640,8GB
1345,11641,6GB
1346,11641,8GB
1347,11639,4GB
1348,11639,6GB
1349,11639,8GB
1350,11525,4GB
1351,11525,6GB
1352,11503,
1353,11505,
1354,11504,
1355,12030,
1356,11506,3GB
1357,11506,4GB
1358,11490,8GB
1359,11489,4GB
1360,11428,8GB
1361,11399,6GB
1362,11399,8GB
1363,11280,
1364,11247,8GB
1365,11328,4GB
1366,11177,4GB
1367,11177,6GB
1368,11227,
1369,11176,
1370,11171,32MB
1371,11120,8GB
1372,11121,8GB
1373,11048,8GB
1374,11029,12GB
1375,11029,8GB
1376,10788,8GB
1377,11030,8GB
1378,11002,6GB
1379,11002,8GB
1380,10985,
1381,10986,8GB
1382,10987,
1383,10942,12GB
1384,10942,4GB
1385,10942,8GB
1386,10938,6GB
1387,10938,8GB
1388,10943,6GB
1389,10943,8GB
1390,10941,2GB
1391,10940,2GB
1392,10875,8GB
1393,11768,2GB
1394,11768,4GB
1395,10794,
1396,10783,8GB
1397,10755,4GB
1398,10755,8GB
1399,10697,
1400,10642,8GB
1401,10645,8GB
1402,10652,4GB
1403,10652,8GB
1404,10579,8GB
1405,10551,12GB
1406,10551,8GB
1407,10550,12GB
1408,10550,8GB
1409,10528,
1410,10553,
1411,10554,32MB
1412,10555,8GB
1413,10519,8GB
1414,10546,4GB
1415,10475,4GB
1416,10450,6GB
1417,10426,32MB
1418,10429,6GB
1419,10429,8GB
1420,10417,6GB
1421,10417,8GB
1422,10418,4GB
1423,10418,6GB
1424,10427,
1425,10362,6GB
1426,10494,2GB
1427,10494,3GB
1428,10494,4GB
1429,10363,4GB
1430,10364,1GB
1431,10299,6GB
1432,10299,8GB
1433,10252,6GB
1434,10252,8GB
1435,10292,4GB
1436,10249,4GB
1437,10249,6GB
1438,10236,6GB
1439,10236,8GB
1440,10219,6GB
1441,10219,8GB
1442,10231,2GB
1443,10231,3GB
1444,10227,4GB
1445,10222,3GB
1446,10222,4GB
1447,10223,2GB
1448,10212,4GB
1449,10203,8GB
1450,10204,8GB
1451,10205,6GB
1452,10205,8GB
1453,10206,3GB
1454,10206,4GB
1455,10206,6GB
1456,10166,16MB
1457,11010,4GB
1458,10118,8GB
1459,10152,8GB
1460,10153,6GB
1461,10153,8GB
1462,10112,4GB
1463,9996,6GB
1464,9996,8GB
1465,10100,6GB
1466,10100,8GB
1467,10098,
1468,10073,6GB
1469,10074,4GB
1470,10058,8GB
1471,10012,3GB
1472,9799,6GB
1473,9983,8GB
1474,9971,8GB
1475,9989,8GB
1476,9973,6GB
1477,9973,8GB
1478,9605,
1479,9956,6GB
1480,9922,6GB
1481,9933,4GB
1482,9933,6GB
1483,9933,8GB
1484,9905,4GB
1485,9905,6GB
1486,9887,12GB
1487,9880,8GB
1488,9885,8GB
1489,9881,6GB
1490,9881,8GB
1491,9886,6GB
1492,9886,8GB
1493,9888,32MB
1494,9765,6GB
1495,9765,8GB
1496,9830,4GB
1497,9830,6GB
1498,9830,8GB
